TechID,TechGroup,Band,TechnologyCategory,CommercialYear,Annual_CAPEX_USD_per_t,Annual_OPEX_USD_per_t,Total_Annual_Cost_USD_per_t,EmissionReduction_tCO2_per_t,MAC_USD_per_tCO2,MaxApplicability,Max_Abatement_Potential_tCO2_per_year,TechnicalReadiness,Cumulative_Abatement_MtCO2
NCC_MT_ElecHeater,NCC,MT,Electric heater,2025,4257.147437953776,10,4267.147437953776,1.0,4267.147437953776,0.7,1959999.9999999998,9,1.9599999999999997
BTX_MT_ElecHeater,BTX,MT,Electric heater,2025,3902.3851514576277,8,3910.3851514576277,0.7,5586.264502082326,0.7,392000.0,9,2.352
C4_MT_ElecHeater,C4,MT,Electric heater,2026,4611.9097244499235,12,4623.9097244499235,0.8,5779.887155562404,0.6,168000.0,8,2.52
NCC_MT_HeatPump,NCC,MT,Heat pump,2026,5676.196583938367,-20,5656.196583938367,0.8,7070.245729922959,0.6,1344000.0,8,3.864
NCC_LT_HeatPump,NCC,LT,Heat pump,2024,3192.860578465332,-25,3167.860578465332,0.4,7919.65144616333,0.8,384000.0,9,4.248
NCC_LT_ElecCompr,NCC,LT,Electric motor,2023,2483.336005473036,-30,2453.336005473036,0.3,8177.78668491012,0.9,324000.0,9,4.572
BTX_MT_HeatPump,BTX,MT,Heat pump,2026,4966.672010946072,-18,4948.672010946072,0.6,8247.786684910121,0.6,288000.0,8,4.86
C4_MT_HeatPump,C4,MT,Heat pump,2027,6030.958870434516,-15,6015.958870434516,0.7,8594.226957763594,0.5,122499.99999999999,7,4.9825
C4_LT_ElecCompr,C4,LT,Electric motor,2023,2696.1933773707246,-25,2671.1933773707246,0.3,8903.977924569082,0.8,48000.0,9,5.0305
BTX_LT_HeatPump,BTX,LT,Heat pump,2024,2838.0982919691837,-22,2816.0982919691837,0.3,9386.994306563945,0.8,264000.0,9,5.2945
NCC_HT_Electric,NCC,HT,E-cracker,2028,19866.68804378429,25,19891.68804378429,2.0,9945.844021892144,0.4,2800000.0,6,8.0945
NCC_HT_Hydrogen,NCC,HT,H2-furnace,2030,22704.78633575347,-15,22689.78633575347,2.2,10313.539243524303,0.5,3850000.0000000005,5,11.9445
BTX_LT_ElecCompr,BTX,LT,Electric motor,2023,2270.478633575347,-28,2242.478633575347,0.2,11212.393167876735,0.9,198000.0,9,12.1425
C4_LT_HeatPump,C4,LT,Heat pump,2024,3547.62286496148,-20,3527.62286496148,0.3,11758.742883204934,0.7,42000.0,9,12.1845
BTX_HT_Electric,BTX,HT,Electric furnace,2030,15609.54060583051,30,15639.54060583051,1.2,13032.95050485876,0.3,432000.0,5,12.6165
C4_HT_Electric,C4,HT,Electric extraction,2032,24833.360054730358,40,24873.360054730358,1.8,13818.533363739087,0.3,243000.0,4,12.8595
BTX_HT_Hydrogen,BTX,HT,H2-reformer,2032,18447.638897799694,-10,18437.638897799694,1.3,14182.79915215361,0.4,624000.0,4,13.4835
C4_HT_Hydrogen,C4,HT,H2-process,2035,26961.933773707246,-5,26956.933773707246,1.9,14187.859880898552,0.4,342000.0,3,13.8255
