Year,BaselineEmissions_MtCO2,OptimizedEmissions_MtCO2,EmissionReduction_MtCO2,CumulativeInvestment_Billion_USD,TotalDeployedCapacity_kt
2023,24.8669305,24.8669305,0.0,0.0,0.0
2024,24.8669305,24.8669305,0.0,0.0,0.0
2025,24.8669305,24.8669305,0.0,0.0,0.0
2026,24.8669305,26.96278162,-2.0958511200000025,272.29999999999995,4000.0
2027,24.8669305,26.84542162,-1.978491120000001,272.29999999999995,4000.0
2028,24.8669305,26.72806162,-1.8611311199999996,272.29999999999995,4000.0
2029,24.8669305,26.61070162,-1.7437711200000017,272.29999999999995,4000.0
2030,24.8669305,27.250247746731304,-2.3833172467313055,345.8509439999999,4919.3868
2031,24.8669305,33.5480661844,-8.681135684400001,973.7,12980.0
2032,24.8669305,33.2098011844,-8.342870684400001,973.7,12980.0
2033,24.8669305,32.8715361844,-8.004605684400001,973.7,12980.0
2034,24.8669305,32.5332711844,-7.6663406844000015,973.7,12980.0
2035,24.8669305,32.19500618439999,-7.328075684399995,973.7,12980.0
2036,24.8669305,31.8567411844,-6.989810684400002,973.7,12980.0
2037,24.8669305,31.518476184399994,-6.651545684399995,973.7,12980.0
2038,24.8669305,31.2934312154,-6.4265007154,1093.5500000000002,14430.0
2039,24.8669305,30.9173212154,-6.0503907154000025,1093.5500000000002,14430.0
2040,24.8669305,30.541211215399997,-5.674280715399998,1093.5500000000002,14430.0
2041,24.8669305,30.332261215399996,-5.465330715399997,1093.5500000000002,14430.0
2042,24.8669305,30.1233112154,-5.256380715400002,1093.5500000000002,14430.0
2043,24.8669305,29.9143612154,-5.047430715400001,1093.5500000000002,14430.0
2044,24.8669305,29.705411215399998,-4.838480715399999,1093.5500000000002,14430.0
2045,24.8669305,29.496461215399997,-4.629530715399998,1093.5500000000002,14430.0
2046,24.8669305,29.287511215400002,-4.420580715400003,1093.5500000000002,14430.0
2047,24.8669305,29.0785612154,-4.211630715400002,1093.5500000000002,14430.0
2048,24.8669305,28.869611215399992,-4.002680715399993,1093.5500000000002,14430.0
2049,24.8669305,31.4381752154,-6.571244715400002,2847.0499999999997,14430.0
2050,24.8669305,30.8248922154,-5.9579617154,2982.2,14430.0
