Year,Band,Technology_Group,Temperature_Band,Total_Capacity_kt,Total_Production_kt,Total_Abatement_tCO2,Penetration_Rate
2030,NCC_HT,NCC,HT,0.0,0.0,0.0,0.0
2030,NCC_MT,NCC,MT,4500.0,3677.67543859649,2096275.0,4.5
2030,BTX_HT,BTX,HT,0.0,0.0,0.0,0.0
2030,C4_LT,C4,LT,1000.0,1000.0,710000.0,1.0
2040,NCC_HT,NCC,HT,0.0,0.0,0.0,0.0
2040,NCC_MT,NCC,MT,7500.0,7500.0,4275000.0,7.5
2040,BTX_HT,BTX,HT,1116.0,1116.0,870480.0,1.116
2040,C4_LT,C4,LT,1196.0,1000.0,710000.0,1.196
2050,NCC_HT,NCC,HT,0.0,0.0,0.0,0.0
2050,NCC_MT,NCC,MT,7500.0,7500.0,4275000.0,7.5
2050,BTX_HT,BTX,HT,2356.0,2356.0,1837680.0,2.356
2050,C4_LT,C4,LT,1000.0,1000.0,710000.0,1.0
