TechGroup,Band,TechKey,Production_kt,Share_of_Group_pct,Share_of_Total_pct
NCC,HT,NCC_HT,3500,46.666666666666664,30.17241379310345
NCC,MT,NCC_MT,2800,37.333333333333336,24.137931034482758
NCC,LT,NCC_LT,1200,16.0,10.344827586206897
BTX,HT,BTX_HT,1200,38.70967741935484,10.344827586206897
BTX,MT,BTX_MT,800,25.806451612903224,6.896551724137931
BTX,LT,BTX_LT,1100,35.483870967741936,9.482758620689655
C4,HT,C4_HT,450,45.0,3.8793103448275863
C4,MT,C4_MT,350,35.0,3.0172413793103448
C4,LT,C4_LT,200,20.0,1.7241379310344827
