year,emissions_mt_co2,active_facilities
2023,59.997162687112684,234
2024,59.997162687112684,234
2025,59.997162687112684,234
2026,20.150527897864684,71
2027,20.150527897864684,71
2028,20.150527897864684,71
2029,20.145070639470845,69
2030,20.12609937498909,62
2031,19.537066439782585,57
2032,19.537066439782585,57
2033,19.12126807998605,51
2034,19.12082819626512,50
2035,19.120729507317805,49
2036,17.4231116788981,43
2037,17.41708481843298,39
2038,17.413456911456237,35
2039,16.840048311354558,30
2040,16.83827191030285,29
2041,12.117312166670061,26
2042,12.117312166670061,26
2043,10.363228179548836,19
2044,10.355384052012147,16
2045,10.355384052012147,16
2046,0.5714395495843869,2
2047,0.302283239997538,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
