Company,CapacityTransitioned_kt,AbatementMtCO2,AnnualCostUSD,TechID,CostEffectiveness_USD_per_tCO2
롯데베르살리스엘라스토머스,196.0,0.012785391125222659,-882191.9876403636,1,-69000.00000000001
한국알콜산업,193.0,0.012589696363101904,-868689.0490540315,1,-69000.00000000001
롯데이네오스화학,1170.0,0.07632095722709445,-5266146.048669518,1,-69000.00000000001
폴리미래,405.0,0.04098907948015007,-2828246.484130355,1,-69000.00000000001
Bluecube케미칼,52.0,0.0033920425434264202,-234050.93549642302,1,-69000.0
롯데GS화학,130.0,0.014163888597679957,-977308.313239917,1,-69000.0
비틀라카본코리아,193.0,0.012589696363101904,-868689.0490540314,1,-69000.0
삼양이노켐,180.0,0.011741685727245297,-810176.3151799255,1,-69000.0
삼양화성,120.0,0.0078277904848302,-540117.5434532837,1,-69000.0
아케마,100.0,0.0065231587373585,-450097.95287773653,1,-69000.0
애경케미칼,218.0,0.01422048604744153,-981213.5372734657,1,-69000.0
오리온엔지니어드카본즈,170.0,0.011089369853509449,-765166.519892152,1,-69000.0
울산피피,600.0,0.06072456219281491,-4189994.791304229,1,-69000.0
동서석유화학,602.0,0.039269415598898176,-2709589.676323974,1,-69000.0
이수화학,180.0,0.011741685727245297,-810176.3151799255,1,-69000.0
카프로,460.0,0.03932271564091771,-2713267.3792233216,1,-69000.0
코리아피티지,30.0,0.00195694762120755,-135029.38586332093,1,-69000.0
코오롱인더스트리,137.0,0.008936727470181146,-616634.1954424991,1,-69000.0
피유코어,220.0,0.014350949222188696,-990215.49633102,1,-69000.0
한국바스프,614.0,0.04211757127563829,-2906112.418019042,1,-69000.0
한국트린지오,43.0,0.002804958257064154,-193542.11973742663,1,-69000.0
한솔케미칼,88.0,0.00574037968887548,-396086.1985324081,1,-69000.0
용산케미칼,38.0,0.002478800320196229,-171037.2220935398,1,-69000.0
금호피앤비화학,1888.0,0.12315723696132848,-8497849.350331666,1,-69000.0
롯데엠시시,297.0,0.01937378144995474,-1336790.920046877,1,-69000.0
금호미쓰이화학,610.0,0.039791268297886845,-2745597.5125541924,1,-69000.0
국도화학,530.0,0.034572741308000046,-2385519.150252003,1,-69000.0
구다우케미칼,30.0,0.00195694762120755,-135029.38586332093,1,-69000.0
HD현대OCI,136.0,0.008871495882807562,-612133.2159137217,1,-69000.0
KPX케미칼,298.0,0.01943901303732833,-1341291.8995756547,1,-69000.0
SK케미칼,160.0,0.0104370539797736,-720156.7246043785,1,-69000.0
금호폴리켐,310.0,0.02022179208581135,-1395303.6539209832,1,-69000.0
SH에너지화학,100.0,0.00895301359413156,-617757.9379950776,1,-69000.0
LXMMA,380.0,0.024788003201962304,-1710372.2209353987,1,-68999.99999999999
OCI,580.0,0.0461357912752794,-3054877.381382265,2,-66214.91247770442
금호석유화학,2703.0,0.2089957736659323,-13554056.081892362,2,-64853.25441823402
태광산업,2326.000000000001,0.18658244197131918,-11229131.892901601,3,-60183.21860439422
한화솔루션,6425.0,0.7176834275310937,-42373182.83502115,3,-59041.6069391338
SK지오센트릭,10589.0,1.3165183144003596,-75570602.4169347,2,-57401.86185815058
효성화학,1420.0,0.1543083054473099,-8857128.490642823,2,-57398.909702026234
울산아로마틱스,2600.0,0.2486771521462026,-14107777.631915795,2,-56731.29803103717
SK인천석유화학,3479.907671836001,0.3407470447419273,-19301522.480105646,2,-56644.72451910508
한화임팩트,4000.0,0.20530142088103606,-11546670.279385578,2,-56242.52491694352
삼남석유화학,3000.0,0.153976065660777,-8660002.709539182,2,-56242.52491694352
HDC현대EP,376.0,0.0378468198221166,-2127413.4335508337,2,-56211.154425916495
한국이네오스스티롤루션,630.6999999999825,0.06015336469921737,-3280659.477147307,2,-54538.25390402459
GS칼텍스,10361.5,1.2329109272989105,-66413263.54966494,3,-53867.04106448682
SSNC,360.0,0.039634079263606584,-2109561.865762012,2,-53225.95869406474
SK어드밴스드,1200.0,0.13618409262422693,-7248528.888805789,2,-53225.958694064735
대한유화,5154.75,0.6815102153808823,-31983376.729242288,4,-46930.15013922781
S-Oil,8956.0,0.879175737702826,-40919048.91008112,3,-46542.51380616733
HD현대오일뱅크,4938.0,0.423248893967251,-17261603.78157072,4,-40783.57682112772
여천NCC,10792.612661563999,1.4711609062940847,-52784352.975027815,3,-35879.38800521405
SK에너지,1560.0039567933331,0.14802572698473074,-4656906.6511638425,3,-31460.116737979035
LG화학,25270.0,2.819412587483283,-86146934.8493144,7,-30554.923118298375
DL케미칼,1910.0,0.1456556847113364,-2434943.9708304405,3,-16717.1228205481
한화토탈에너지스,17533.0,1.9406800851722052,-26967595.38646035,6,-13895.95100836385
HD현대케미칼,9905.566666666666,1.0204338950277037,-5751198.166126827,8,-5636.032078266753
롯데케미칼,26246.429502906667,2.727926789656152,-4375268.249086891,10,-1603.8803774636422
